PRESIDENT 2012
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Idaho,20121106,N/A,ADA,County,"180,562","97,554","Romney, W. Mitt",Challenger,"77,137","Obama, Barack H.",Incumbent,Libertarian,"3,422","Johnson, Gary E.",Challenger,"2,449","20,417",R,54.03,42.72,1.90,1.36,55.84,44.16,"The other vote was: Anderson, Ross C. (Justice) 636; Stein, Jill (Green) 1,320; Goode, Virgil H. Jr. (Write-in) 477; Scattered Write-In (Write-in) 16",,"The other vote was: Anderson, Ross C. (Justice) 636; Stein, Jill (Green) 1,320; Goode, Virgil H. Jr. (Write-in) 477; Scattered Write-In (Write-in) 16"
President,Idaho,20121106,N/A,GEM,County,"7,491","5,311","Romney, W. Mitt",Challenger,"1,957","Obama, Barack H.",Incumbent,Libertarian,93,"Johnson, Gary E.",Challenger,130,"3,354",R,70.90,26.12,1.24,1.74,73.07,26.93,"The other vote was: Anderson, Ross C. (Justice) 44; Stein, Jill (Green) 47; Goode, Virgil H. Jr. (Write-in) 38; Scattered Write-In (Write-in) 1",,"The other vote was: Anderson, Ross C. (Justice) 44; Stein, Jill (Green) 47; Goode, Virgil H. Jr. (Write-in) 38; Scattered Write-In (Write-in) 1"
President,Idaho,20121106,N/A,GOODING,County,"5,118","3,696","Romney, W. Mitt",Challenger,"1,287","Obama, Barack H.",Incumbent,Libertarian,51,"Johnson, Gary E.",Challenger,84,"2,409",R,72.22,25.15,1.00,1.64,74.17,25.83,"The other vote was: Anderson, Ross C. (Justice) 25; Stein, Jill (Green) 38; Goode, Virgil H. Jr. (Write-in) 21; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 25; Stein, Jill (Green) 38; Goode, Virgil H. Jr. (Write-in) 21; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,IDAHO,County,"7,840","5,921","Romney, W. Mitt",Challenger,"1,708","Obama, Barack H.",Incumbent,Libertarian,76,"Johnson, Gary E.",Challenger,135,"4,213",R,75.52,21.79,.97,1.72,77.61,22.39,"The other vote was: Anderson, Ross C. (Justice) 24; Stein, Jill (Green) 49; Goode, Virgil H. Jr. (Write-in) 59; Scattered Write-In (Write-in) 3",,"The other vote was: Anderson, Ross C. (Justice) 24; Stein, Jill (Green) 49; Goode, Virgil H. Jr. (Write-in) 59; Scattered Write-In (Write-in) 3"
President,Idaho,20121106,N/A,JEFFERSON,County,"11,381","9,895","Romney, W. Mitt",Challenger,"1,303","Obama, Barack H.",Incumbent,Libertarian,97,"Johnson, Gary E.",Challenger,86,"8,592",R,86.94,11.45,.85,.76,88.36,11.64,"The other vote was: Anderson, Ross C. (Justice) 23; Stein, Jill (Green) 40; Goode, Virgil H. Jr. (Write-in) 23; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 23; Stein, Jill (Green) 40; Goode, Virgil H. Jr. (Write-in) 23; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,JEROME,County,"6,681","4,804","Romney, W. Mitt",Challenger,"1,699","Obama, Barack H.",Incumbent,Libertarian,77,"Johnson, Gary E.",Challenger,101,"3,105",R,71.91,25.43,1.15,1.51,73.87,26.13,"The other vote was: Anderson, Ross C. (Justice) 27; Stein, Jill (Green) 49; Goode, Virgil H. Jr. (Write-in) 25; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 27; Stein, Jill (Green) 49; Goode, Virgil H. Jr. (Write-in) 25; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,KOOTENAI,County,"59,833","39,381","Romney, W. Mitt",Challenger,"18,851","Obama, Barack H.",Incumbent,Libertarian,839,"Johnson, Gary E.",Challenger,762,"20,530",R,65.82,31.51,1.40,1.27,67.63,32.37,"The other vote was: Anderson, Ross C. (Justice) 162; Stein, Jill (Green) 307; Goode, Virgil H. Jr. (Write-in) 288; Scattered Write-In (Write-in) 5",,"The other vote was: Anderson, Ross C. (Justice) 162; Stein, Jill (Green) 307; Goode, Virgil H. Jr. (Write-in) 288; Scattered Write-In (Write-in) 5"
President,Idaho,20121106,N/A,LATAH,County,"16,767","7,589","Romney, W. Mitt",Challenger,"8,306","Obama, Barack H.",Incumbent,Libertarian,453,"Johnson, Gary E.",Challenger,419,717,D,45.26,49.54,2.70,2.50,47.74,52.26,"The other vote was: Anderson, Ross C. (Justice) 82; Stein, Jill (Green) 189; Goode, Virgil H. Jr. (Write-in) 140; Scattered Write-In (Write-in) 8",,"The other vote was: Anderson, Ross C. (Justice) 82; Stein, Jill (Green) 189; Goode, Virgil H. Jr. (Write-in) 140; Scattered Write-In (Write-in) 8"
President,Idaho,20121106,N/A,LEMHI,County,"4,110","3,029","Romney, W. Mitt",Challenger,960,"Obama, Barack H.",Incumbent,Libertarian,41,"Johnson, Gary E.",Challenger,80,"2,069",R,73.70,23.36,1.00,1.95,75.93,24.07,"The other vote was: Anderson, Ross C. (Justice) 22; Stein, Jill (Green) 40; Goode, Virgil H. Jr. (Write-in) 18; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 22; Stein, Jill (Green) 40; Goode, Virgil H. Jr. (Write-in) 18; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,LEWIS,County,"1,615","1,173","Romney, W. Mitt",Challenger,396,"Obama, Barack H.",Incumbent,Libertarian,15,"Johnson, Gary E.",Challenger,31,777,R,72.63,24.52,.93,1.92,74.76,25.24,"The other vote was: Anderson, Ross C. (Justice) 6; Stein, Jill (Green) 11; Goode, Virgil H. Jr. (Write-in) 13; Scattered Write-In (Write-in) 1",,"The other vote was: Anderson, Ross C. (Justice) 6; Stein, Jill (Green) 11; Goode, Virgil H. Jr. (Write-in) 13; Scattered Write-In (Write-in) 1"
President,Idaho,20121106,N/A,LINCOLN,County,"1,663","1,141","Romney, W. Mitt",Challenger,469,"Obama, Barack H.",Incumbent,Libertarian,17,"Johnson, Gary E.",Challenger,36,672,R,68.61,28.20,1.02,2.16,70.87,29.13,"The other vote was: Anderson, Ross C. (Justice) 7; Stein, Jill (Green) 19; Goode, Virgil H. Jr. (Write-in) 9; Scattered Write-In (Write-in) 1",,"The other vote was: Anderson, Ross C. (Justice) 7; Stein, Jill (Green) 19; Goode, Virgil H. Jr. (Write-in) 9; Scattered Write-In (Write-in) 1"
