PRESIDENT 2012
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Nebraska,20121106,N/A,DEUEL,County,"1,017",763,"Romney, W. Mitt",Challenger,215,"Obama, Barack H.",Incumbent,Libertarian,25,"Johnson, Gary E.",Challenger,14,548,R,75.02,21.14,2.46,1.38,78.02,21.98,"The other vote was: Terry, Randall (Independent) 9; Scattered Write-In (Write-in) 5",,"The other vote was: Terry, Randall (Independent) 9; Scattered Write-In (Write-in) 5"
President,Nebraska,20121106,N/A,DIXON,County,"2,686","1,745","Romney, W. Mitt",Challenger,870,"Obama, Barack H.",Incumbent,Libertarian,37,"Johnson, Gary E.",Challenger,34,875,R,64.97,32.39,1.38,1.27,66.73,33.27,"The other vote was: Terry, Randall (Independent) 12; Scattered Write-In (Write-in) 22",,"The other vote was: Terry, Randall (Independent) 12; Scattered Write-In (Write-in) 22"
President,Nebraska,20121106,N/A,DODGE,County,"14,950","8,995","Romney, W. Mitt",Challenger,"5,673","Obama, Barack H.",Incumbent,Libertarian,187,"Johnson, Gary E.",Challenger,95,"3,322",R,60.17,37.95,1.25,.64,61.32,38.68,"The other vote was: Terry, Randall (Independent) 48; Scattered Write-In (Write-in) 47",,"The other vote was: Terry, Randall (Independent) 48; Scattered Write-In (Write-in) 47"
President,Nebraska,20121106,N/A,DOUGLAS,County,"223,927","113,220","Romney, W. Mitt",Challenger,"106,456","Obama, Barack H.",Incumbent,Libertarian,"2,763","Johnson, Gary E.",Challenger,"1,488","6,764",R,50.56,47.54,1.23,.66,51.54,48.46,"The other vote was: Terry, Randall (Independent) 389; Scattered Write-In (Write-in) 1,099",,"The other vote was: Terry, Randall (Independent) 389; Scattered Write-In (Write-in) 1,099"
President,Nebraska,20121106,N/A,DUNDY,County,985,792,"Romney, W. Mitt",Challenger,176,"Obama, Barack H.",Incumbent,Libertarian,11,"Johnson, Gary E.",Challenger,6,616,R,80.41,17.87,1.12,.61,81.82,18.18,"The other vote was: Terry, Randall (Independent) 3; Scattered Write-In (Write-in) 3",,"The other vote was: Terry, Randall (Independent) 3; Scattered Write-In (Write-in) 3"
President,Nebraska,20121106,N/A,FILLMORE,County,"2,879","2,007","Romney, W. Mitt",Challenger,807,"Obama, Barack H.",Incumbent,Libertarian,32,"Johnson, Gary E.",Challenger,33,"1,200",R,69.71,28.03,1.11,1.15,71.32,28.68,"The other vote was: Terry, Randall (Independent) 18; Scattered Write-In (Write-in) 15",,"The other vote was: Terry, Randall (Independent) 18; Scattered Write-In (Write-in) 15"
President,Nebraska,20121106,N/A,FRANKLIN,County,"1,536","1,112","Romney, W. Mitt",Challenger,384,"Obama, Barack H.",Incumbent,Libertarian,26,"Johnson, Gary E.",Challenger,14,728,R,72.40,25.00,1.69,.91,74.33,25.67,"The other vote was: Terry, Randall (Independent) 10; Scattered Write-In (Write-in) 4",,"The other vote was: Terry, Randall (Independent) 10; Scattered Write-In (Write-in) 4"
President,Nebraska,20121106,N/A,FRONTIER,County,"1,305","1,007","Romney, W. Mitt",Challenger,271,"Obama, Barack H.",Incumbent,Libertarian,15,"Johnson, Gary E.",Challenger,12,736,R,77.16,20.77,1.15,.92,78.79,21.21,"The other vote was: Terry, Randall (Independent) 6; Scattered Write-In (Write-in) 6",,"The other vote was: Terry, Randall (Independent) 6; Scattered Write-In (Write-in) 6"
President,Nebraska,20121106,N/A,FURNAS,County,"2,240","1,782","Romney, W. Mitt",Challenger,423,"Obama, Barack H.",Incumbent,Libertarian,17,"Johnson, Gary E.",Challenger,18,"1,359",R,79.55,18.88,.76,.80,80.82,19.18,"The other vote was: Terry, Randall (Independent) 10; Scattered Write-In (Write-in) 8",,"The other vote was: Terry, Randall (Independent) 10; Scattered Write-In (Write-in) 8"
President,Nebraska,20121106,N/A,GAGE,County,"9,661","5,513","Romney, W. Mitt",Challenger,"3,903","Obama, Barack H.",Incumbent,Libertarian,158,"Johnson, Gary E.",Challenger,87,"1,610",R,57.06,40.40,1.64,.90,58.55,41.45,"The other vote was: Terry, Randall (Independent) 59; Scattered Write-In (Write-in) 28",,"The other vote was: Terry, Randall (Independent) 59; Scattered Write-In (Write-in) 28"
President,Nebraska,20121106,N/A,GARDEN,County,"1,091",829,"Romney, W. Mitt",Challenger,242,"Obama, Barack H.",Incumbent,Libertarian,10,"Johnson, Gary E.",Challenger,10,587,R,75.99,22.18,.92,.92,77.40,22.60,"The other vote was: Terry, Randall (Independent) 7; Scattered Write-In (Write-in) 3",,"The other vote was: Terry, Randall (Independent) 7; Scattered Write-In (Write-in) 3"
President,Nebraska,20121106,N/A,GARFIELD,County,940,769,"Romney, W. Mitt",Challenger,149,"Obama, Barack H.",Incumbent,Libertarian,13,"Johnson, Gary E.",Challenger,9,620,R,81.81,15.85,1.38,.96,83.77,16.23,"The other vote was: Terry, Randall (Independent) 6; Scattered Write-In (Write-in) 3",,"The other vote was: Terry, Randall (Independent) 6; Scattered Write-In (Write-in) 3"
President,Nebraska,20121106,N/A,GOSPER,County,978,734,"Romney, W. Mitt",Challenger,230,"Obama, Barack H.",Incumbent,Libertarian,9,"Johnson, Gary E.",Challenger,5,504,R,75.05,23.52,.92,.51,76.14,23.86,"The other vote was: Terry, Randall (Independent) 4; Scattered Write-In (Write-in) 1",,"The other vote was: Terry, Randall (Independent) 4; Scattered Write-In (Write-in) 1"
